participant,participantrel,participantclass
air_flowing,,"phenomenon, "
earth_surface,,"body, "
land_surface,,"body, "
material_mineral-phase,,"matter, "
material_mineral-phase~melt,,"matter, "
soil_layer~0,,"body, "
soil_layer~1,,"body, "
soil_layer~2,,"body, "
soil_surface,,"body, "
soil_x-section~horizontal,,"body, "
soil_x-section~vertical,,"body, "
vegetation_canopy,,"body, "
water_flowing,,"phenomenon, "
water_flowing_x-section,,"phenomenon, "
air,,"matter, "
automobile,,"body, "
basin~drainage,,"body, "
blood,,"matter, "
chocolate,,"matter, "
chocolate~liquid,,"matter, "
delta,,"body, "
earth,,"body, "
glacier,,"body, "
ice,,"matter, attribute, "
land,,"body, "
material,,"matter, "
material~melt,,"matter, "
region~state,,"form, "
rocket,,"body, "
sea,,"body, "
sediment,,"matter, "
snowpack,,"body, "
soil,,"matter, "
water,,"matter, "
water~liquid,,"matter, "
