abstraction_taxonomic,abstraction_id,abstraction_label,attribute,process,synonym,plural_of,wikipedia_page
model,market-basket,market-basket,,,,,https://en.wikipedia.org/wiki/Market_basket
model,mohr-coulomb-plastic,mohr-coulomb-plastic,,,,,https://en.wikipedia.org/wiki/Mohr%E2%80%93Coulomb_theory
model,black-body,black-body,,,,,https://en.wikipedia.org/wiki/Black_body
equations,friedmann-universe,friedmann-universe,,,,,https://en.wikipedia.org/wiki/Friedmann_equations
equation,equation~convection-diffusion,equation~convection-diffusion,,"convection, diffusion",,,https://en.wikipedia.org/wiki/Convection-diffusion_equation
equation,equation~heat,equation~heat,,,,,https://en.wikipedia.org/wiki/Heat_equation
equation,equation~navier-stokes,equation~navier-stokes,,,,,https://en.wikipedia.org/wiki/Navier-Stokes_equations
equation,equation~poisson,equation~poisson,,,,,https://en.wikipedia.org/wiki/Poisson%27s_equation
model,physics,physics,,,,,http://en.wikipedia.org/wiki/Physics
airfoil,airfoil_drift,airfoil,,drifting,,,
airfoil,airfoil_lift,airfoil,,lift,,,
,image,image,,,,,
point,location,location,,,,,
axis,axis~east,axis~east,east,,,,
line,streamline,streamline,,,,,
