abstraction_taxonomic,abstraction_id,abstraction_label,abstraction,abstraction_applied,attribute,synonym,wikipedia_page
points,amphidromic-points,amphidromic-points,,,amphidromic,,https://en.wikipedia.org/wiki/Amphidromic_point
boundary,boundary~core-mantle,boundary~core-mantle,,,between-core-and-mantle,,https://en.wikipedia.org/wiki/Core%E2%80%93mantle_boundary
boundary,boundary~crust-mantle,boundary~crust-mantle,,,between-crust-and-mantle,,
boundary,boundary~lithosphere-asthenosphere,boundary~lithosphere-asthenosphere,,,between-lithosphere-and-asthenosphere,,https://en.wikipedia.org/wiki/Lithosphere-Asthenosphere_boundary
boundary,boundary~seaward,boundary~seaward,,,seaward,,
datum,datum~vertical,datum~vertical,,,vertical,,
datum~vertical,datum~vertical~geodetic,datum~vertical~geodetic,,,geodetic,,
datum~vertical,datum~vertical~gravimetric,datum~vertical~gravimetric,,,gravimetric,,
datum~vertical,datum~vertical~tidal,datum~vertical~tidal,,,tidal,,
datum~vertical~tidal,datum~vertical~tidal~msl,datum~vertical~tidal~msl,,,mean-sea-level,,
endpoint,endpoint~downstream,endpoint~downstream,,,downstream,,
endpoint,endpoint~upstream,endpoint~upstream,,,upstream,,
point,epicenter,epicenter,,,,,http://en.wikipedia.org/wiki/Epicenter
line,equator,equator,,,,,http://en.wikipedia.org/wiki/Equator
,equator_plane,equator_plane,equator,plane,,,
line,equilibrium-line,equilibrium-line,,,equilibrium,,
point,geocenter,geocenter,,,,,
line,geodesic,geodesic,,,,,http://en.wikipedia.org/wiki/Geodesic
"shape, model",geoid,geoid,,,,,
point,hypocenter,hypocenter,,,,focus,http://en.wikipedia.org/wiki/Hypocenter
line,isocline,isocline,,,,,https://en.wikipedia.org/wiki/Contour_line
isosurface,isosurface~potential-temperature,isosurface~potential-temperature,,,potential-temperature,,
mask,land-mask,land-mask,,,land-presence,,
point,pole,pole,,,,,https://en.wikipedia.org/wiki/Poles_of_astronomical_bodies
pole,pole~north,pole~north,,,north,,https://en.wikipedia.org/wiki/North_Pole_(disambiguation)
pole~north,pole~north~magnetic,pole~north~magnetic,,,magnetic,,https://en.wikipedia.org/wiki/North_Magnetic_Pole
pole~north,pole~north~terrestrial,pole~north~terrestrial,,,terrestrial,,https://en.wikipedia.org/wiki/North_Pole
pole~north,pole~north~virtual,pole~north~virtual,,,virtual,,
pole,pole~south,pole~south,,,south,,https://en.wikipedia.org/wiki/South_Pole_(disambiguation)
pole~south,pole~south~magnetic,pole~south~magnetic,,,magnetic,,https://en.wikipedia.org/wiki/South_Magnetic_Pole
pole~south,pole~south~terrestrial,pole~south~terrestrial,,,terrestrial,,https://en.wikipedia.org/wiki/South_Pole
mask,sea-mask,sea-mask,,,sea-presence,,
line,shoreline,shoreline,,,,,
,shoreline_axis~x,shoreline_axis~x,shoreline,axis~x,,,
point,target,target,,,,,
point,viewpoint,viewpoint,,,,,https://en.wikipedia.org/wiki/Perspective_(geometry)
line,wheelbase,wheelbase,,,,,http://en.wikipedia.org/wiki/Wheelbase
line,wingspan,wingspan,,,,,https://en.wikipedia.org/wiki/Wingspan
